Date,.RUA,ACWX.O,AGG
2007-04-04,839.9146,,100.01
2007-04-05,842.5356,,99.92
2007-04-09,843.0128,,99.54
2007-04-10,845.1205,,99.69
2007-04-11,839.543,,99.63
2007-04-12,844.6683,,99.75
2007-04-13,847.782,,99.59
2007-04-16,856.9338,,99.79
2007-04-17,858.2774,,100.08
2007-04-18,858.4399,,100.23
2007-04-19,856.7282,,100.19
2007-04-20,864.5512,,100.14
2007-04-23,862.9218,,100.24
2007-04-24,862.3499,,100.29
2007-04-25,870.3705,,100.33
2007-04-26,870.1579,,100.14
2007-04-27,869.3305,,100.12
2007-04-30,861.3773,,100.46
2007-05-01,863.569,,100.02
2007-05-02,870.2898,,100.05
2007-05-03,873.5976,,99.94
2007-05-04,875.7744,,100.07
2007-05-07,877.5132,,100.17
2007-05-08,876.6196,,100.06
2007-05-09,879.8469,,99.94
2007-05-10,867.1909,,100.11
2007-05-11,875.696,,99.91
2007-05-14,873.3772,,99.93
2007-05-15,871.0518,,99.89
2007-05-16,878.1793,,99.91
2007-05-17,877.0641,,99.74
2007-05-18,882.9111,,99.45
2007-05-21,885.7082,,99.65
2007-05-22,886.3207,,99.45
2007-05-23,884.76,,99.37
2007-05-24,875.264,,99.41
2007-05-25,880.1903,,99.36
2007-05-29,882.7982,,99.26
2007-05-30,889.9683,,99.38
2007-05-31,890.9522,,99.16
2007-06-01,894.6962,,98.63
2007-06-04,896.4141,,98.75
2007-06-05,891.3439,,98.47
2007-06-06,883.0071,,98.51
2007-06-07,867.1243,,97.83
2007-06-08,876.919,,97.71
2007-06-11,877.375,,97.78
2007-06-12,867.935,,97.2
2007-06-13,880.2682,,97.35
2007-06-14,884.6448,,97.54
2007-06-15,890.9333,,97.89
2007-06-18,889.5503,,97.96
2007-06-19,891.0678,,98.27
2007-06-20,879.189,,97.97
2007-06-21,884.3059,,97.8499
2007-06-22,873.1234,,98.08
2007-06-25,869.3699,,98.17
2007-06-26,866.3666,,98.05
2007-06-27,874.795,,98.24
2007-06-28,874.7416,,98.17
2007-06-29,873.1934,,98.36
2007-07-02,882.9915,,98.2
2007-07-03,886.1377,,98.09
2007-07-05,886.9778,,97.68
2007-07-06,890.2948,,97.51
2007-07-09,891.1484,,97.68
2007-07-10,878.2967,,98.1
2007-07-11,883.045,,97.88
2007-07-12,899.1692,,97.78
2007-07-13,901.9804,,97.9
2007-07-16,899.4361,,98.1
2007-07-17,899.4248,,97.92
2007-07-18,897.406,,98.1702
2007-07-19,901.7079,,98.17
2007-07-20,890.5246,,98.4
2007-07-23,893.8134,,98.34
2007-07-24,875.2967,,98.54
2007-07-25,878.307,,98.48
2007-07-26,857.69,,98.83
2007-07-27,844.3086,,98.73
2007-07-30,852.8205,,98.68
2007-07-31,842.5914,,98.99
2007-08-01,847.4539,,98.33
2007-08-02,851.8754,,98.28
2007-08-03,828.6886,,98.71
2007-08-06,846.3015,,98.55
2007-08-07,852.0239,,98.48
2007-08-08,864.7975,,98.36
2007-08-09,840.9638,,98.48
2007-08-10,841.3721,,98.15
2007-08-13,840.6519,,98.33
2007-08-14,825.0392,,98.6
2007-08-15,812.62,,98.73
2007-08-16,815.4306,,98.67
2007-08-17,835.184,,98.89
2007-08-20,835.7549,,98.8
2007-08-21,837.1645,,99.26
2007-08-22,847.5141,,99.18
2007-08-23,845.6922,,99.3
2007-08-24,855.7293,,99.05
2007-08-27,848.2078,,99.35
2007-08-28,828.0957,,99.75
2007-08-29,846.3214,,99.55
2007-08-30,843.015,,99.76
2007-08-31,852.9764,,99.82
2007-09-04,862.1942,,99.28
2007-09-05,852.5853,,99.6
2007-09-06,856.0203,,99.58
2007-09-07,841.4154,,100.2
2007-09-10,839.3366,,100.44
2007-09-11,850.8202,,100.26
2007-09-12,850.4791,,100.12
2007-09-13,856.8486,,99.83
2007-09-14,857.6974,,99.9
2007-09-17,852.7327,,99.94
2007-09-18,878.0999,,100.15
2007-09-19,883.8583,,100.13
2007-09-20,877.9497,,99.42
2007-09-21,881.8689,,99.71
2007-09-24,877.1034,,99.72
2007-09-25,876.6221,,99.8
2007-09-26,881.6869,,99.7
2007-09-27,885.8426,,99.87
2007-09-28,882.7851,,100.02
2007-10-01,895.2174,,99.27
2007-10-02,896.032,,99.65
2007-10-03,891.8095,,99.7
2007-10-04,893.704,,99.66
2007-10-05,903.3579,,98.87
2007-10-08,900.3245,,99.65
2007-10-09,907.5779,,99.44
2007-10-10,906.4784,,99.57
2007-10-11,901.0647,,99.64
2007-10-12,905.6684,,99.4501
2007-10-15,897.7097,,99.48
2007-10-16,891.5979,,99.64
2007-10-17,893.1614,,99.98
2007-10-18,892.734,,100.2699
2007-10-19,869.6928,,100.73
2007-10-22,873.8789,,100.7
2007-10-23,881.7133,,100.67
2007-10-24,879.0887,,101.11
2007-10-25,877.5163,,100.85
2007-10-26,889.6064,,100.76
2007-10-29,892.9304,,100.76
2007-10-30,887.1027,,100.89
2007-10-31,898.0748,,100.61
2007-11-01,874.0716,,100.44
2007-11-02,874.7434,,100.55
2007-11-05,869.4901,,100.46
2007-11-06,880.0949,,100.33
2007-11-07,854.8097,,100.35
2007-11-08,855.0585,,100.45
2007-11-09,842.9877,,100.8
2007-11-12,833.6973,,100.66
2007-11-13,857.312,,100.67
2007-11-14,851.409,,100.63
2007-11-15,840.5746,,101.0599
2007-11-16,844.147,,100.99
2007-11-19,828.7516,,101.21
2007-11-20,831.5077,,101.0
2007-11-21,819.0356,,101.77
2007-11-23,832.5943,,101.25
2007-11-26,814.0384,,102.17
2007-11-27,825.3674,,101.75
2007-11-28,849.4224,,101.5
2007-11-29,849.5915,,101.79
2007-11-30,855.8478,,101.99
2007-12-03,850.772,,102.13
2007-12-04,845.1186,,101.74
2007-12-05,857.6357,,101.55
2007-12-06,871.6264,,101.44
2007-12-07,870.8144,,100.86
2007-12-10,877.4334,,100.66
2007-12-11,854.593,,101.15
2007-12-12,859.2229,,101.05
2007-12-13,859.9117,,100.66
2007-12-14,847.7468,,100.38
2007-12-17,834.4835,,100.53
2007-12-18,840.2938,,101.06
2007-12-19,839.7925,,101.27
2007-12-20,845.0667,,101.18
2007-12-21,859.436,,100.74
2007-12-24,866.6095,,100.77
2007-12-26,867.3448,,100.46
2007-12-27,853.9604,,100.6
2007-12-28,854.7843,,101.14
2007-12-31,849.2206,,101.17
2008-01-02,837.171,,101.6499
2008-01-03,835.8631,,101.92
2008-01-04,814.4389,,102.13
2008-01-07,816.1855,,102.01
2008-01-08,800.5351,,102.52
2008-01-09,810.2847,,102.28
2008-01-10,817.1386,,102.07
2008-01-11,805.5703,,102.51
2008-01-14,814.1392,,102.59
2008-01-15,794.1805,,102.96
2008-01-16,790.2326,,102.65
2008-01-17,767.251,,103.27
2008-01-18,762.6111,,103.25
2008-01-22,755.0892,,103.41
2008-01-23,771.9312,,103.1
2008-01-24,779.6163,,102.84
2008-01-25,768.4661,,103.02
2008-01-28,782.5361,,103.22
2008-01-29,787.4378,,102.9
2008-01-30,782.7205,,103.06
2008-01-31,796.8264,,103.51
2008-02-01,808.2844,,102.99
2008-02-04,800.1192,,102.93
2008-02-05,775.0256,,103.25
2008-02-06,768.3418,,103.17
2008-02-07,774.7626,,102.26
